"","Time","Prey","startN","mL","mQ","implicitMortality","TotalPredMort","PRM","species","predation.mortality"
"97","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHP",4.658834e-12
"98","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHP",0
"99","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHP",1.178052e-11
"100","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHP",0
"101","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SHR",1.057264e-13
"102","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SHR",0
"103","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SHR",2.419022e-14
"104","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SHR",0
"105","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SSK",5.54572e-08
"106","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SSK",0
"107","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SSK",1.448487e-06
"108","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SSK",0
"109","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SB",0
"110","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SB",0
"111","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SB",0
"112","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SB",0
"113","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SP",5.622146e-19
"114","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SP",0
"115","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SP",1.868028e-18
"116","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SP",0
"117","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","PIN",0
"118","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","PIN",0
"119","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","PIN",0
"120","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","PIN",0
"121","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","REP",5.239934e-17
"122","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","REP",0
"123","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","REP",5.928333e-16
"124","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","REP",0
"125","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","WHB",0
"126","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","WHB",0
"127","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","WHB",0
"128","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","WHB",0
"129","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","WHS",0
"130","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","WHS",0
"131","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","WHS",0
"132","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","WHS",0
"133","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","WHT",0
"134","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","WHT",0
"135","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","WHT",0
"136","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","WHT",0
"137","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","WDG",0
"138","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","WDG",0
"139","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","WDG",0
"140","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","WDG",0
"141","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","CEP",0
"142","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","CEP",0
"143","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","CEP",0
"144","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","CEP",0
"145","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BFS",0
"146","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BFS",0
"147","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BFS",0
"148","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BFS",0
"149","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BFF",0
"150","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BFF",0
"151","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BFF",0
"152","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BFF",0
"153","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BFD",0
"154","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BFD",0
"155","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BFD",0
"156","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BFD",0
"157","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BG",0
"158","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BG",0
"159","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BG",0
"160","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BG",0
